Race,Driver,AvgPosition
Singapore Grand Prix,ZHO,17.5
Spanish Grand Prix,ALB,18.333333333333332
Spanish Grand Prix,ALO,11.75
Spanish Grand Prix,ANT,18.0
Spanish Grand Prix,BEA,17.0
Spanish Grand Prix,BOR,12.0
Spanish Grand Prix,BOT,8.333333333333334
Spanish Grand Prix,COL,15.0
Spanish Grand Prix,GAS,10.0
Spanish Grand Prix,GIO,15.0
Spanish Grand Prix,HAD,7.0
Spanish Grand Prix,HAM,3.75
Spanish Grand Prix,HUL,8.0
Spanish Grand Prix,LAT,16.0
Spanish Grand Prix,LAW,11.0
Spanish Grand Prix,LEC,8.0
Spanish Grand Prix,MAG,17.0
Spanish Grand Prix,MAZ,19.0
Spanish Grand Prix,MSC,16.0
Spanish Grand Prix,NOR,5.0
Spanish Grand Prix,OCO,10.5
Spanish Grand Prix,PER,5.0
Spanish Grand Prix,PIA,4.0
Spanish Grand Prix,RAI,12.0
Spanish Grand Prix,RIC,11.0
Spanish Grand Prix,RUS,6.25
Spanish Grand Prix,SAI,7.75
Spanish Grand Prix,SAR,20.0
Spanish Grand Prix,STR,13.333333333333334
Spanish Grand Prix,TSU,15.5
Spanish Grand Prix,VER,3.5
Spanish Grand Prix,VET,12.0
Spanish Grand Prix,ZHO,16.0
Styrian Grand Prix,ALO,9.0
Styrian Grand Prix,BOT,3.0
Styrian Grand Prix,GAS,20.0
Styrian Grand Prix,GIO,15.0
Styrian Grand Prix,HAM,2.0
Styrian Grand Prix,LAT,17.0
Styrian Grand Prix,LEC,7.0
Styrian Grand Prix,MAZ,18.0
Styrian Grand Prix,MSC,16.0
Styrian Grand Prix,NOR,5.0
Styrian Grand Prix,OCO,14.0
Styrian Grand Prix,PER,4.0
Styrian Grand Prix,RAI,11.0
Styrian Grand Prix,RIC,13.0
Styrian Grand Prix,RUS,19.0
Styrian Grand Prix,SAI,6.0
Styrian Grand Prix,STR,8.0
Styrian Grand Prix,TSU,10.0
Styrian Grand Prix,VER,1.0
Styrian Grand Prix,VET,12.0
São Paulo Grand Prix,ALB,14.5
São Paulo Grand Prix,ALO,12.333333333333334
São Paulo Grand Prix,ANT,2.0
São Paulo Grand Prix,BEA,9.0
São Paulo Grand Prix,BOR,20.0
São Paulo Grand Prix,BOT,8.0
São Paulo Grand Prix,COL,16.0
São Paulo Grand Prix,GAS,6.666666666666667
São Paulo Grand Prix,GIO,14.0
São Paulo Grand Prix,HAD,8.0
São Paulo Grand Prix,HAM,9.666666666666666
São Paulo Grand Prix,HUL,14.5
São Paulo Grand Prix,LAT,16.0
São Paulo Grand Prix,LAW,8.0
São Paulo Grand Prix,LEC,9.666666666666666
São Paulo Grand Prix,MAZ,17.0
São Paulo Grand Prix,MSC,18.0
São Paulo Grand Prix,NOR,5.666666666666667
São Paulo Grand Prix,OCO,7.333333333333333
São Paulo Grand Prix,PER,7.5
São Paulo Grand Prix,PIA,6.5
São Paulo Grand Prix,RIC,19.0
São Paulo Grand Prix,RUS,7.0
São Paulo Grand Prix,SAI,11.666666666666666
São Paulo Grand Prix,STR,18.333333333333332
São Paulo Grand Prix,TSU,13.0
São Paulo Grand Prix,VER,2.0
São Paulo Grand Prix,VET,11.0
São Paulo Grand Prix,ZHO,15.0
Turkish Grand Prix,ALO,16.0
Turkish Grand Prix,BOT,1.0
Turkish Grand Prix,GAS,6.0
Turkish Grand Prix,GIO,11.0
Turkish Grand Prix,HAM,5.0
Turkish Grand Prix,LAT,17.0
Turkish Grand Prix,LEC,4.0
Turkish Grand Prix,MAZ,20.0
Turkish Grand Prix,MSC,19.0
Turkish Grand Prix,NOR,7.0
Turkish Grand Prix,OCO,10.0
Turkish Grand Prix,PER,3.0
Turkish Grand Prix,RAI,12.0
Turkish Grand Prix,RIC,13.0
Turkish Grand Prix,RUS,15.0
Turkish Grand Prix,SAI,8.0
Turkish Grand Prix,STR,9.0
Turkish Grand Prix,TSU,14.0
Turkish Grand Prix,VER,2.0
Turkish Grand Prix,VET,18.0
United States Grand Prix,ALB,15.0
United States Grand Prix,ALO,13.666666666666666
United States Grand Prix,ANT,13.0
United States Grand Prix,BEA,9.0
United States Grand Prix,BOR,18.0
United States Grand Prix,BOT,11.5
United States Grand Prix,COL,13.5
United States Grand Prix,GAS,17.0
United States Grand Prix,GIO,11.0
United States Grand Prix,HAD,16.0
United States Grand Prix,HAM,8.666666666666666
United States Grand Prix,HUL,8.0
United States Grand Prix,LAT,15.0
United States Grand Prix,LAW,10.0
United States Grand Prix,LEC,2.6666666666666665
United States Grand Prix,MAG,11.0
United States Grand Prix,MAZ,17.0
United States Grand Prix,MSC,16.0
United States Grand Prix,NOR,4.666666666666667
United States Grand Prix,OCO,17.333333333333332
United States Grand Prix,PER,5.0
United States Grand Prix,PIA,5.0
United States Grand Prix,RAI,13.0
United States Grand Prix,RIC,5.0
United States Grand Prix,RUS,8.666666666666666
United States Grand Prix,SAI,9.666666666666666
United States Grand Prix,STR,13.0
United States Grand Prix,TSU,10.0
United States Grand Prix,VER,1.6666666666666667
United States Grand Prix,VET,10.0
United States Grand Prix,ZHO,19.0
